Tiêu đề,Diện tích(m2),Số phòng ngủ,Số phòng WC,Thời gian đăng,Tỉnh/Thành,Quận/Huyện,Hướng nhà,Hướng ban công,Loại nhà,Giá,Link
"Bán Nhà Mặt tiền đường Kha Vạn Cân, P. Linh Đông, dt 180m2 giá 19 tỷ TL",180,,,08/12/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà,19,https://batdongsan.vn/ban-nha-mat-tien-duong-kha-van-can-p-linh-dong-dt-180m2-gia-19-ty-tl-r285142
"Bán nhà Âu Cơ-Tây Hồ 42m, NGÕ THÔNG, DÂN XÂY 4 ngủ chỉ 5.29 tỷ",42,4,3,08/12/2023,Hà Nội,Tây Hồ,,,Bán Nhà riêng,5.29,https://batdongsan.vn/ban-nha-au-co-tay-ho-42m-ngo-thong-dan-xay-4-ngu-chi-529-ty-r285138
"Bán nhà phố Đào Tấn, Ba Đình, gần phố, ở ngay 6 tầng 39m2 giá 8.6 tỷ",39,4,5,08/12/2023,Hà Nội,Ba Đình,,,Bán Nhà riêng,8.6,https://batdongsan.vn/ban-nha-pho-dao-tan-ba-dinh-gan-pho-o-ngay-6-tang-39m2-gia-86-ty-r285137
Trương Đức Toàn,80,8,8,08/12/2023,TP Hồ Chí Minh,Quận 11,Nam,Nam,Bán Nhà mặt phố,21.8,https://batdongsan.vn/truong-duc-toan-r285135
"Nhà 6 Tầng, Hộ Khẩu Cầu Giấy, Ô Tô Đỗ Cửa, Ngõ Thông",40,3,4,08/12/2023,Hà Nội,Cầu Giấy,,,Bán Nhà riêng,5.95,https://batdongsan.vn/nha-6-tang-ho-khau-cau-giay-o-to-do-cua-ngo-thong-r285134
"SÁT MẶT TIỀN BẠCH ĐẰNG, PHƯỜNG 14, BÌNH THẠNH, 3 TẦNG BTCT, 33M2, 4.x TỶ",33,3,3,08/12/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà,4,https://batdongsan.vn/sat-mat-tien-bach-dang-phuong-14-binh-thanh-3-tang-btct-33m2-4x-ty-r285129
"Phân lô ô tô tránh Hà Đông, dân trí cao, an ninh tốt, 54m2, 6.9 tỷ",54,,,08/12/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,6.9,https://batdongsan.vn/phan-lo-o-to-tranh-ha-dong-dan-tri-cao-an-ninh-tot-54m2-69-ty-r285128
"Bán nhà 2 mặt tiền đường Phạm Văn Đồng, Thủ Đức - 118m2 - full thổ cư - 23,5 tỷ",118,,,08/12/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà mặt phố,19,https://batdongsan.vn/ban-nha-2-mat-tien-duong-pham-van-dong-thu-duc-118m2-full-tho-cu-235-ty-r285127
Cửa nhựa giá rẻ lắp đặt phòng ngủ và Toilet | Cửa nhựa Đài Loan,,,,08/12/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà riêng,,https://batdongsan.vn/cua-nhua-gia-re-lap-dat-phong-ngu-va-toilet-cua-nhua-dai-loan-r285126
"Chỉ 2 tỉ sở hữu shophouse 4 tầng, chân đế chung cư, tiện ích hoàn chỉnh, dân cư hiện hữu",75,,,08/12/2023,Bắc Ninh,Từ Sơn,,,Bán Nhà riêng,4800,https://batdongsan.vn/chi-2-ti-so-huu-shophouse-4-tang-chan-de-chung-cu-tien-ich-hoan-chinh-dan-cu-hien-huu-r285123
"Bán nhà mới leng keng 110m2 đường ô tô (X.Tân Bình) chỉ 1,6 tỉ",110,3,2,08/12/2023,Đồng Nai,Vĩnh Cửu,,,Bán Nhà riêng,1.6,https://batdongsan.vn/ban-nha-moi-leng-keng-110m2-duong-o-to-xtan-binh-chi-16-ti-r285122
"Bán nhà mới leng keng 110m2 đường ô tô (X.Tân Bình) chỉ 1,6 tỉ",110,3,2,08/12/2023,Đồng Nai,Vĩnh Cửu,,,Bán Nhà riêng,1.6,https://batdongsan.vn/ban-nha-moi-leng-keng-110m2-duong-o-to-xtan-binh-chi-16-ti-r285121
"NHÀ MẶT TIỀN KHU SẦM UẤT QUẬN 4, 4 TẦNG, NGAY NGÃ 3 NGUYỄN TẤT THÀNH, GIÁ ĐẦU TƯ CỰC TỐT 12,8 TỶ",75,5,6,08/12/2023,TP Hồ Chí Minh,Quận 4,,,Bán Nhà mặt phố,12.8,https://batdongsan.vn/nha-mat-tien-khu-sam-uat-quan-4-4-tang-ngay-nga-3-nguyen-tat-thanh-gia-dau-tu-cuc-tot-128-ty-r285118
"Bán nhà ngõ Thổ quan, Khâm Thiên, gần ô tô, ở ngay 4 tầng 29m2 giá 2.85 tỷ",29,3,3,08/12/2023,Hà Nội,Đống Đa,,,Bán Nhà riêng,2.85,https://batdongsan.vn/ban-nha-ngo-tho-quan-kham-thien-gan-o-to-o-ngay-4-tang-29m2-gia-285-ty-r285116
"BÁN NHÀ MẶT PHỐ THANH XU N, DT134M2X8T, MT5.4M, THANG MÁY, KD, 32.7TỶ",134,8,88,08/12/2023,Hà Nội,Thanh Xuân,,,Bán Nhà mặt phố,32.7,https://batdongsan.vn/ban-nha-mat-pho-thanh-xu-n-dt134m2x8t-mt54m-thang-may-kd-327ty-r285112
BÁN NHÀ PHỐ TRƯỜNG CHINH 68M - TT THANH XU N MẶT TIỀN 6M - NGÕ THÔNG - DÒNG TIỀN 150TR. LH: 0393838449,68,,,08/12/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,6.8,https://batdongsan.vn/ban-nha-pho-truong-chinh-68m-tt-thanh-xu-n-mat-tien-6m-ngo-thong-dong-tien-150tr-lh-0393838449-r285111
"Nhà Chính chủ hẻm taxi Mễ Cốc, P15, Q8. Giá 3.4tỷ",110,,,08/12/2023,TP Hồ Chí Minh,Quận 8,,,Bán Nhà riêng,3.4,https://batdongsan.vn/nha-chinh-chu-hem-taxi-me-coc-p15-q8-gia-34ty-r285109
"Bán nhà Trần Xuân Soạn, phường Tân Hưng, Q.7 – 12m2, hẻm xe máy, giá 1.x tỷ",12,,,08/12/2023,TP Hồ Chí Minh,Quận 7,,,Bán Nhà,,https://batdongsan.vn/ban-nha-tran-xuan-soan-phuong-tan-hung-q7-12m2-hem-xe-may-gia-1x-ty-r285107
"Văn Quán Hà Đông, nhà đẹp ở luôn, ô tô đỗ cửa, 30m2, 4.85 tỷ",30,,3,08/12/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,4.85,https://batdongsan.vn/van-quan-ha-dong-nha-dep-o-luon-o-to-do-cua-30m2-485-ty-r285103
"GIẢM SÂU 1,7 TỶ- NHỈNH 8 TỶ -HXH 12M NGAY HÒA BÌNH, TÂN PHÚ- 85m ngang 8m- sổ vuông A4",85,7,3,08/12/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,8.99,https://batdongsan.vn/giam-sau-17-ty-nhinh-8-ty-hxh-12m-ngay-hoa-binh-tan-phu-85m-ngang-8m-so-vuong-a4-r285102
11.4 Tỷ Diện Tích 90M2 Nhà 6 Tầng Mặt Tiền Mỹ Khê 2 Sơn Trà Đà Nẵng.,90,,,08/12/2023,Đà Nẵng,Sơn Trà,,,Bán Nhà mặt phố,11.4,https://batdongsan.vn/114-ty-dien-tich-90m2-nha-6-tang-mat-tien-my-khe-2-son-tra-da-nang-r285101
HẺM XE HƠI-NHÀ ĐẸP LUNG LINH NGAY EMART GÒ VẤP- 53M2(4 *13M)- 4 TẦNG-SỔ VUÔNG A4,53,4,4,08/12/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,7.39,https://batdongsan.vn/hem-xe-hoi-nha-dep-lung-linh-ngay-emart-go-vap-53m24-13m-4-tang-so-vuong-a4-r285100
"Bán nhà mặt tiền kinh doanh Bùi Tá Hán, An Phú, 4x20m, an ninh cao, 16 tỷ thương lượng",80,6,6,08/12/2023,TP Hồ Chí Minh,Quận 2,,,Bán Nhà riêng,16,https://batdongsan.vn/ban-nha-mat-tien-kinh-doanh-bui-ta-han-an-phu-4x20m-an-ninh-cao-16-ty-thuong-luong-r285098
"Bán nhà đẹp 50m2 *2 Nguyễn Khuyến, Bình Thạnh nhỉnh 4 tỷ hẻm 1 sẹc, rộng thoáng , có ban công đón gió",50,,,08/12/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,4.75,https://batdongsan.vn/ban-nha-dep-50m2-2-nguyen-khuyen-binh-thanh-nhinh-4-ty-hem-1-sec-rong-thoang-co-ban-cong-don-gio-r285097
"HOÀNG HOA THÁM 30m X5t X MT 5m 4,3 Tỷ - 5 TẦNG MỚI KING KOONG - KHU VIP BA ĐÌNH - Ô TÔ DỪNG ĐỖ 70M",30,3,4,08/12/2023,Hà Nội,Ba Đình,,,Bán Nhà riêng,4.3,https://batdongsan.vn/hoang-hoa-tham-30m-x5t-x-mt-5m-43-ty-5-tang-moi-king-koong-khu-vip-ba-dinh-o-to-dung-d-70m-r285094
"Bán Nhà mặt ngõ Bùi Xương Trạch,, Thanh Xuân, kinh doanh sầm uất 43m, ô tô đỗ cửa chỉ 2.18 tỷ",43,1,1,09/12/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,2.18,https://batdongsan.vn/ban-nha-mat-ngo-bui-xuong-trach-thanh-xuan-kinh-doanh-sam-uat-43m-o-to-do-cua-chi-218-ty-r285093
"Bán nhà HXH Bùi Thế Mỹ Phường 10 Tân Bình, 40m2, 4 tầng, giá hạt dưa",,,,09/12/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,5.5,https://batdongsan.vn/ban-nha-hxh-bui-the-my-phuong-10-tan-binh-40m2-4-tang-gia-hat-dua-r285087
BÁN NHÀ BÌNH THẠNH 80M2 - 5PN 5WC - DÒNG TIỀN 18TR/THÁNG,80,,5,09/12/2023,TP Hồ Chí Minh,Bình Thạnh,,,Bán Nhà riêng,9.39,https://batdongsan.vn/ban-nha-binh-thanh-80m2-5pn-5wc-dong-tien-18trthang-r285086
The number 1 reputable Google Ads advertising service in the US,150,12,12,09/12/2023,An Giang,Châu Thành,Tây,Tây,Bán Nhà riêng,0.012,https://batdongsan.vn/the-number-1-reputable-google-ads-advertising-service-in-the-us-r285085
(PHA12) BÁN NHÀ 2 TẦNG HẺM 3M KHU ĐÔ THỊ VCN PHƯỚC HẢI,55,2,2,09/12/2023,Khánh Hòa,Nha Trang,Nam,,Bán Nhà riêng,2.18,https://batdongsan.vn/pha12-ban-nha-2-tang-hem-3m-khu-do-thi-vcn-phuoc-hai-r285084
(PHA23) BÁN NHÀ MẶT TIỀN ĐƯỜNG ĐỒNG NAI - PHƯỚC HẢI,83,4,3,09/12/2023,Khánh Hòa,Nha Trang,Tây-Bắc,Tây-Bắc,Bán Nhà mặt phố,6.5,https://batdongsan.vn/pha23-ban-nha-mat-tien-duong-dong-nai-phuoc-hai-r285080
"Bán nhà đẹp 4 tầng Bùi Tá Hán, An Phú, Q2 4x20m 15.8 tỷ, không lỗi phong thuỷ",80,4,4,09/12/2023,TP Hồ Chí Minh,Quận 2,,,Bán Nhà riêng,15.8,https://batdongsan.vn/ban-nha-dep-4-tang-bui-ta-han-an-phu-q2-4x20m-158-ty-khong-loi-phong-thuy-r285079
(VH25) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 19/5 KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG,138,5,6,09/12/2023,Khánh Hòa,Nha Trang,Tây-Nam,Tây-Nam,Bán Nhà mặt phố,9.2,https://batdongsan.vn/vh25-ban-nha-3-tang-mat-tien-duong-195-khu-do-thi-vinh-diem-trung-r285078
(VH25) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 19/5 KHU ĐÔ THỊ VĨNH ĐIỀM TRUNG,138,5,6,09/12/2023,Khánh Hòa,Nha Trang,Tây-Nam,Tây-Nam,Bán Nhà mặt phố,9.2,https://batdongsan.vn/vh25-ban-nha-3-tang-mat-tien-duong-195-khu-do-thi-vinh-diem-trung-r285077
"HXH-NGUYỄN HỮU TIẾN, TÂN PHÚ-57M2 ngang 4.1m- 4 tầng-6.1 tỷ (TL)",57,4,3,09/12/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,6.1,https://batdongsan.vn/hxh-nguyen-huu-tien-tan-phu-57m2-ngang-41m-4-tang-61-ty-tl-r285076
"Bán nhà kế Phạm Văn Hai Phường 6 Tân Bình, 55m2, 3 Tầng, Ô tô gần giá 5 tỷ nhỏ",55,,,09/12/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,5.75,https://batdongsan.vn/ban-nha-ke-pham-van-hai-phuong-6-tan-binh-55m2-3-tang-o-to-gan-gia-5-ty-nho-r285075
"Bán nhà gần Hồng Lạc Phường 8 Tân Bình, 35m2, Ô tô đậu, 4 TẦNG, giá rẻ",35,,,09/12/2023,TP Hồ Chí Minh,Tân Bình,,,Bán Nhà riêng,5.5,https://batdongsan.vn/ban-nha-gan-hong-lac-phuong-8-tan-binh-35m2-o-to-dau-4-tang-gia-re-r285074
TÂN PHÚ-HXH LŨY BÁN BÍCH-NHÀ ĐẸP SMARTHOME-3 TẦNG BTCT- NHỈNH 4 TỶ ☘️,31,4,3,09/12/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,4.69,https://batdongsan.vn/tan-phu-hxh-luy-ban-bich-nha-dep-smarthome-3-tang-btct-nhinh-4-ty-r285073
"Bán nhà Hà Đông, khu vực yên tĩnh, phân lô cán bộ, ô tô tránh đỗ, 36m2, 6,5 tỷ",36,,3,09/12/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,6.5,https://batdongsan.vn/ban-nha-ha-dong-khu-vuc-yen-tinh-phan-lo-can-bo-o-to-tranh-do-36m2-65-ty-r285069
"Cần bán gấp nhà 1 trệt 2 lầu 80m2 5x16, đường 30m, sổ hồng hoàn công, giá chỉ 8 tỷ 3 Thương lượng, Lh: 0388668882 gặp Tâm ( zalo )",80,4,5,09/12/2023,TP Hồ Chí Minh,Quận 9,,,Bán Nhà riêng,8.3,https://batdongsan.vn/can-ban-gap-nha-1-tret-2-lau-80m2-5x16-duong-30m-so-hong-hoan-cong-gia-chi-8-ty-3-thuong-luong-lh-0388668882-gap-tam-zalo-r285066
bán nhà ở và kinh doanh thuận tiện,150,3,3,09/12/2023,Bình Dương,Bến Cát,Tây,Tây,Bán Nhà mặt phố,1.9,https://batdongsan.vn/ban-nha-o-va-kinh-doanh-thuan-tien-r285064
"Đất đẹp mặt tiền kinh doanh Bùi Tá Hán Q2, 14.5tỷ, ĐB, sổ vuông, tiện ích đầy đủ",71,,,09/12/2023,TP Hồ Chí Minh,Quận 2,,,Bán Nhà riêng,14.5,https://batdongsan.vn/dat-dep-mat-tien-kinh-doanh-bui-ta-han-q2-145ty-db-so-vuong-tien-ich-day-du-r285063
BÁN NHÀ PHỐ LÊ TRỌNG TẤN 68M - 04 TẦNG - MT 6.7M - NGÕ THÔNG Ô TÔ - DÒNG TIỀN 360TR. LH: 0393838449,67,,,09/12/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,10.5,https://batdongsan.vn/ban-nha-pho-le-trong-tan-68m-04-tang-mt-67m-ngo-thong-o-to-dong-tien-360tr-lh-0393838449-r285062
BÁN NHÀ PHỐ CHÙA BỘC 48M - 04 TẦNG - NGÕ Ô TÔ - 04 NGỦ Ở NGAY. LH: 0393838449,48,,,09/12/2023,Hà Nội,Đống Đa,,,Bán Nhà riêng,6,https://batdongsan.vn/ban-nha-pho-chua-boc-48m-04-tang-ngo-o-to-04-ngu-o-ngay-lh-0393838449-r285061
Bán nhà đẹp 3 lầu mặt tiền Đường số gần đường Phạm Hùng P.4 Quận 8,75,,,09/12/2023,TP Hồ Chí Minh,Quận 8,,,Bán Nhà mặt phố,15.2,https://batdongsan.vn/ban-nha-dep-3-lau-mat-tien-duong-so-gan-duong-pham-hung-p4-quan-8-r285059
Bán gấp gấp,,4,4,09/12/2023,TP Hồ Chí Minh,Gò Vấp,,,Bán Nhà riêng,,https://batdongsan.vn/ban-gap-gap-r285058
Bán nhà 2 lầu vị trí đẹp mặt tiền Đường số 5 Phường 4 Quận 8,75,,,09/12/2023,TP Hồ Chí Minh,Quận 8,,,Bán Nhà mặt phố,13,https://batdongsan.vn/ban-nha-2-lau-vi-tri-dep-mat-tien-duong-so-5-phuong-4-quan-8-r285057
(VAT13) BÁN NHÀ 3 TẦNG HẺM OTO ĐƯỜNG 2/4 - VẠN THẮNG,53,3,3,09/12/2023,Khánh Hòa,Nha Trang,Tây-Bắc,Tây-Bắc,Bán Nhà riêng,3,https://batdongsan.vn/vat13-ban-nha-3-tang-hem-oto-duong-24-van-thang-r285053
DP21) BÁN NHÀ CẤP 4 HẺM 3M ĐƯỜNG HƯƠNG LỘ 45 - XÃ DIÊN PHÚ,83.6,2,1,09/12/2023,Khánh Hòa,Diên Khánh,Đông-Bắc,,Bán Nhà riêng,0.93,https://batdongsan.vn/dp21-ban-nha-cap-4-hem-3m-duong-huong-lo-45-xa-dien-phu-r285051
(VN81) BÁN NHÀ 3 TẦNG MẶT TIỀN ĐƯỜNG 8M SAU LƯNG KĐT VĨNH ĐIỀM TRUNG,58,3,3,09/12/2023,Khánh Hòa,Nha Trang,Tây-Nam,Tây-Nam,Bán Nhà riêng,3.3,https://batdongsan.vn/vn81-ban-nha-3-tang-mat-tien-duong-8m-sau-lung-kdt-vinh-diem-trung-r285050
"Bán Khách Sạn tại Phường Bình Thọ, Tp. Thủ Đức. dt 215m²",215,,,09/12/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà,25,https://batdongsan.vn/ban-khach-san-tai-phuong-binh-tho-tp-thu-duc-dt-215m-r285048
"Bán Khách Sạn tại Phường Bình Thọ, Tp. Thủ Đức. dt 215m²",215,,,09/12/2023,TP Hồ Chí Minh,Thủ Đức,,,Bán Nhà,25,https://batdongsan.vn/ban-khach-san-tai-phuong-binh-tho-tp-thu-duc-dt-215m-r285047
BÁN NHÀ PHỐ TÂY SƠN 52M - 05 TẦNG - Ô TÔ TRÁNH - VỈA HÈ KINH DOANH - 04 NGỦ Ở NGAY. LH: 0393838449,52,,,09/12/2023,Hà Nội,Đống Đa,,,Bán Nhà riêng,8.6,https://batdongsan.vn/ban-nha-pho-tay-son-52m-05-tang-o-to-tranh-via-he-kinh-doanh-04-ngu-o-ngay-lh-0393838449-r285045
"BÁN NHÀ 2 TẦNG RẺ NHẤT TÂN PHÚ,5.2Mx9.6M, KẾ CỘNG HOÀ, HXH, SHR, CHỈ 3.35TỶ",50,2,2,09/12/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,3.35,https://batdongsan.vn/ban-nha-2-tang-re-nhat-tan-phu52mx96m-ke-cong-hoa-hxh-shr-chi-335ty-r285044
"Nhà đẹp Yên Nghia - Hà Đông 30m2 - Ô TÔ tránh chỉ 10m, giá 2,2 tỷ",30,,,09/12/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,2.2,https://batdongsan.vn/nha-dep-yen-nghia-ha-dong-30m2-o-to-tranh-chi-10m-gia-22-ty-r285043
"KĐT Văn Khê - Hà Đông: Nhà 6 tầng PHÂN LÔ VỈA HÈ 50m2, OTO tránh đỗ chỉ 8,8 tỷ",50,,,09/12/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,8.8,https://batdongsan.vn/kdt-van-khe-ha-dong-nha-6-tang-phan-lo-via-he-50m2-oto-tranh-do-chi-88-ty-r285042
"Bán 87m2 căn góc, sẻ khe nhỏ tại dự án Shophouse Thuận An, Trâu Quỳ",87,,,10/12/2023,Hà Nội,Gia Lâm,Đông-Nam,,Bán Nhà mặt phố,13,https://batdongsan.vn/ban-87m2-can-goc-se-khe-nho-tai-du-an-shophouse-thuan-an-trau-quy-r285041
"Bán nhà Mỗ Lao, Hà Đông ngõ rộng ô tô tránh, 48m2, 8.1 tỷ",48,,4,10/12/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,8.1,https://batdongsan.vn/ban-nha-mo-lao-ha-dong-ngo-rong-o-to-tranh-48m2-81-ty-r285039
"Nhà Phường 12 Gò Vấp sát mặt tiền, hẻm 6m, sổ A4 , 94m2 3 tầng, 9.9 tỷ",94,3,4,10/12/2023,TP Hồ Chí Minh,Gò Vấp,Tây-Bắc,,Bán Nhà riêng,9.9,https://batdongsan.vn/nha-phuong-12-go-vap-sat-mat-tien-hem-6m-so-a4-94m2-3-tang-99-ty-r285038
Bán nhà Thanh Bình - Mộ Lao - 50m ra phố,30,,,10/12/2023,Hà Nội,Hà Đông,,,Bán Nhà riêng,3.85,https://batdongsan.vn/ban-nha-thanh-binh-mo-lao-50m-ra-pho-r285035
"Nhà mặt phố Tô Hiệu, 2 thoáng-vỉa hè-KD, 35m2 giá chỉ 9 tỷ",35,4,3,10/12/2023,Hà Nội,Hà Đông,,,Bán Nhà mặt phố,9,https://batdongsan.vn/nha-mat-pho-to-hieu-2-thoang-via-he-kd-35m2-gia-chi-9-ty-r285034
PHƯỚC BỬU XUYÊN MỘC BÀ RỊA VŨNG TÀU,370,3,2,10/12/2023,Bà Rịa Vũng Tàu,Xuyên Mộc,,,Bán Nhà mặt phố,4,https://batdongsan.vn/phuoc-buu-xuyen-moc-ba-ria-vung-tau-r285033
"Nhà mới đẹp, đối diện Aeon Mall và gần chợ Sơn Kỳ, 2.95 tỷ",36,2,2,10/12/2023,TP Hồ Chí Minh,Tân Phú,,,Bán Nhà riêng,2.95,https://batdongsan.vn/nha-moi-dep-doi-dien-aeon-mall-va-gan-cho-son-ky-295-ty-r285032
"Bán nhà ngõ 3 phố Nhân Hòa, phường Nhân Chính, 39m2 nhà đẹp 4 tầng giá 6.5 tỷ",39,4,,10/12/2023,Hà Nội,Thanh Xuân,,,Bán Nhà riêng,6.5,https://batdongsan.vn/ban-nha-ngo-3-pho-nhan-hoa-phuong-nhan-chinh-39m2-nha-dep-4-tang-gia-65-ty-r285031
"Rẻ, Nhà Trương Định Lô góc,ngõ thông,Kinh doanh DT 32m2, 6 Tầng, MT3.7m, giá nhỉnh 4 tỷ",32,4,5,10/12/2023,Hà Nội,Hoàng Mai,Đông-Nam,,Bán Nhà riêng,4680000000,https://batdongsan.vn/re-nha-truong-dinh-lo-gocngo-thongkinh-doanh-dt-32m2-6-tang-mt37m-gia-nhinh-4-ty-r285029
Bán nhà đường âu cơ khu vực phú tài. thành phố quy nhơn,52,3,2,01/12/2023,Bình Định,Quy Nhơn,Đông-Bắc,,Bán Nhà riêng,1.6,https://batdongsan.vn/ban-nha-duong-au-co-khu-vuc-phu-tai-thanh-pho-quy-nhon-r285028
"Bán nhà khu cao cấp Trần Phú, Ngô Quyền, Hải Phòng Sản phẩm cực hiếm. 74,4m2 Giá: 13 tỷ",74,5,5,07/12/2023,Hải Phòng,Ngô Quyền,Đông-Nam,Đông-Nam,Bán Nhà riêng,13,https://batdongsan.vn/ban-nha-khu-cao-cap-tran-phu-ngo-quyen-hai-phong-san-pham-cuc-hiem-744m2-gia-13-ty-r285027
"Bán nhà MT kinh doanh DT 768 thổ cư 138m2 (X. Thạnh Phú) 3,6 tỉ",138,2,,07/12/2023,Đồng Nai,Vĩnh Cửu,,,Bán Nhà mặt phố,3.6,https://batdongsan.vn/ban-nha-mt-kinh-doanh-dt-768-tho-cu-138m2-x-thanh-phu-36-ti-r285026
"Bán nhà ngõ Văn Chương, Đống Đa, gần ô tô, ở ngay 6 tầng 52m2 giá 8 tỷ",52,6,4,07/12/2023,Hà Nội,Đống Đa,,,Bán Nhà riêng,8,https://batdongsan.vn/ban-nha-ngo-van-chuong-dong-da-gan-o-to-o-ngay-6-tang-52m2-gia-8-ty-r285025
"SÁT ĐƯỜNG NHỰA 6M TRƯỜNG SA, PHƯỜNG 13, PHÚ NHUẬN, 4 TẦNG BTCT, 55M2, 7.x TỶ",55,5,5,07/12/2023,TP Hồ Chí Minh,Phú Nhuận,,,Bán Nhà,7.4,https://batdongsan.vn/sat-duong-nhua-6m-truong-sa-phuong-13-phu-nhuan-4-tang-btct-55m2-7x-ty-r285024
